City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port mathurin,-19.6833,63.4167,26.03,77,23,8.55,MU,1681935500
83,nadym,65.5333,72.5167,-15.62,90,74,2.41,RU,1681935823
84,college,64.8569,-147.8028,1.0,52,75,0.0,US,1681935501
85,barra de santo antonio,-9.4047,-35.5072,29.6,78,11,6.89,BR,1681935824
86,kapa'a,22.0752,-159.319,26.72,70,0,3.6,US,1681935476
87,port isabel,26.0734,-97.2086,28.05,71,75,9.77,US,1681935825
88,xinyu,27.8043,114.9334,19.84,95,8,0.31,CN,1681935825
89,jamestown,42.097,-79.2353,14.18,54,0,3.6,US,1681935303
90,georgetown,5.4112,100.3354,27.96,83,20,0.0,MY,1681935312
91,harnai,30.1005,67.9374,20.28,28,0,3.46,PK,1681935827
92,hermanus,-34.4187,19.2345,13.78,76,99,2.23,ZA,1681935533
93,invercargill,-46.4,168.35,11.68,82,95,0.89,NZ,1681935519
94,balakovo,52.0278,47.8007,10.13,45,56,1.51,RU,1681935828
95,papatowai,-46.5619,169.4708,9.35,94,92,2.55,NZ,1681935485
96,kiama,-34.6833,150.8667,18.89,90,100,2.68,AU,1681935829
97,floro,61.5996,5.0328,12.04,71,0,1.54,NO,1681935831
98,capoterra,39.1763,8.9718,14.74,81,20,2.57,IT,1681935831
99,hawaiian paradise park,19.5933,-154.9731,25.73,93,40,6.17,US,1681935491
100,yur'yevets,57.3201,43.1041,6.55,81,67,2.39,RU,1681935832
101,panorama,40.5878,23.0315,12.3,85,40,3.09,GR,1681935832
102,kalmunai,7.4167,81.8167,26.71,80,69,3.96,LK,1681935833
103,malvik,63.4333,10.6833,8.06,64,0,1.03,NO,1681935833
104,lompoc,34.6391,-120.4579,22.1,60,20,8.75,US,1681935517
105,khovd,48.0056,91.6419,-2.31,30,0,3.21,MN,1681935669
106,boa vista,2.8197,-60.6733,32.99,43,40,4.63,BR,1681935728
107,caleta de carquin,-11.0925,-77.6267,25.77,71,44,4.83,PE,1681935531
108,san jeronimo,-11.9472,-75.2829,18.13,53,85,2.51,PE,1681935835
109,moama,-36.1167,144.7833,8.62,78,9,3.82,AU,1681935836
110,holualoa,19.6228,-155.9522,21.97,93,100,9.26,US,1681935598
111,burela de cabo,43.65,-7.4,12.87,90,37,3.13,ES,1681935837
112,sao joao da barra,-21.6403,-41.0511,26.05,88,99,6.74,BR,1681935837
113,ponta delgada,37.7333,-25.6667,17.4,82,75,11.32,PT,1681935838
114,aasiaat,68.7098,-52.8699,-8.56,81,89,2.91,GL,1681935657
115,susuman,62.7833,148.1667,-10.96,95,100,2.29,RU,1681935559
116,choyr,46.3611,108.3611,-2.91,21,3,3.43,MN,1681935839
117,sakiai,54.9547,23.0358,9.67,81,90,6.89,LT,1681935840
118,sao jose da coroa grande,-8.8978,-35.1478,27.3,77,41,5.59,BR,1681935840
119,coyhaique,-45.5752,-72.0662,16.97,63,75,3.6,CL,1681935841
120,avarua,-21.2078,-159.775,25.03,94,75,5.66,CK,1681935477
121,bandar labuan,5.2888,115.2692,26.2,89,20,0.51,MY,1681935842
122,genhe,50.7833,121.5167,-2.49,94,100,5.73,CN,1681935842
123,camargo,27.6667,-105.1667,30.56,9,95,6.77,MX,1681935708
124,alofi,-19.0595,-169.9187,24.94,94,100,2.06,NU,1681935318
125,novodvinsk,64.4165,40.8122,2.86,99,100,3.54,RU,1681935843
126,chui,-33.6971,-53.4616,14.75,62,99,4.71,UY,1681935844
127,port augusta,-32.5,137.7667,12.89,70,0,3.91,AU,1681935844
128,carnarvon,-24.8667,113.6333,23.49,43,74,6.11,AU,1681935480
129,flin flon,54.7682,-101.865,1.91,35,100,6.69,CA,1681935845
130,xi'an,34.2583,108.9286,22.45,29,1,5.15,CN,1681935846
131,mckinleyville,40.9465,-124.1006,12.66,67,0,3.6,US,1681935847
132,nogliki,51.8333,143.1667,-0.93,94,93,2.47,RU,1681935847
133,whitehorse,60.7161,-135.0538,5.57,60,75,1.54,CA,1681935794
134,weno,7.4515,151.8468,26.97,83,100,2.57,FM,1681935613
135,tosontsengel,48.7567,98.2839,-4.57,26,100,3.62,MN,1681935849
136,stanley,54.868,-1.6985,6.54,91,75,2.06,GB,1681935339
137,yellowknife,62.456,-114.3525,4.29,41,0,3.6,CA,1681935490
138,wenatchee,47.4235,-120.3103,13.04,54,100,2.24,US,1681935850
139,san antonio de pale,-1.4014,5.6325,28.53,81,98,5.18,GQ,1681935611
140,salekhard,66.53,66.6019,-9.72,90,100,2.56,RU,1681935851
141,forster,-32.1667,152.5167,12.99,99,100,2.43,AU,1681935851
142,cockburn town,21.4612,-71.1419,26.07,76,0,5.42,TC,1681935852
143,letlhakeng,-24.0944,25.0298,19.48,31,0,2.9,BW,1681935853
144,midvagur,62.0511,-7.1939,6.46,87,1,2.57,FO,1681935733
145,cooma,-36.2333,149.1333,8.77,89,68,0.57,AU,1681935854
146,codrington,-38.2667,141.9667,11.19,83,100,3.75,AU,1681935525
147,nova sintra,14.8667,-24.7167,19.16,80,77,9.61,CV,1681935639
148,st. john's,47.5649,-52.7093,2.66,89,100,6.69,CA,1681935488
149,es castell,39.8795,4.2854,13.38,82,0,1.54,ES,1681935855
150,dalhart,36.0595,-102.5133,28.01,17,0,13.38,US,1681935595
151,fort st. john,56.2499,-120.8529,3.94,65,100,1.54,CA,1681935856
152,zhenlai,45.8495,123.2973,7.15,28,100,9.75,CN,1681935857
153,selfoss,63.9331,-20.9971,9.47,88,84,3.5,IS,1681935857
154,otjimbingwe,-22.35,16.1333,23.63,52,100,3.02,NA,1681935857
155,wuxi,31.5689,120.2886,17.75,93,94,2.59,CN,1681935790
156,prieska,-29.6641,22.7474,20.94,20,56,3.14,ZA,1681935858
157,jinghong,21.991,100.7341,22.7,34,0,1.42,CN,1681935859
158,carloforte,39.145,8.3058,14.94,69,100,1.39,IT,1681935859
159,yichang,30.7144,111.2847,21.36,79,0,1.29,CN,1681935860
160,constantia,44.1833,28.65,10.39,94,100,4.42,RO,1681935655
161,dudinka,69.4058,86.1778,-21.77,100,99,1.99,RU,1681935504
162,tomatlan,19.9333,-105.25,33.86,34,1,5.84,MX,1681935683
163,i-n-salah,27.1935,2.4607,29.79,17,5,3.82,DZ,1681935861
164,queenstown,-31.8976,26.8753,17.55,27,6,3.3,ZA,1681935534
165,ash shatrah,31.4117,46.1742,27.64,15,0,2.98,IQ,1681935862
166,port alfred,-33.5906,26.891,26.09,40,78,4.17,ZA,1681935535
167,lanchyn,48.5578,24.7562,6.12,95,83,1.53,UA,1681935863
168,tulunan,6.8344,124.8769,24.63,90,87,0.16,PH,1681935863
169,kirakira,-10.4544,161.9205,25.5,83,33,2.27,SB,1681935547
170,nuku'alofa,-21.1333,-175.2,26.19,83,75,7.2,TO,1681935572
171,qaqortoq,60.7167,-46.0333,0.77,89,85,1.58,GL,1681935525
172,taganrog,47.2362,38.8969,11.48,85,64,4.5,RU,1681935865
173,el granada,37.5027,-122.4694,18.02,52,20,6.69,US,1681935717
174,downpatrick,54.3263,-5.7035,11.72,66,82,8.42,GB,1681935866
175,tiksi,71.6872,128.8694,-23.03,100,100,1.45,RU,1681935520
176,gaiman,-43.2897,-65.4929,26.72,32,0,9.51,AR,1681935512
177,chita,52.0333,113.55,-8.06,26,0,5.0,RU,1681935867
178,el calafate,-50.3408,-72.2768,8.82,83,46,8.91,AR,1681935868
179,ola,59.5833,151.2833,-4.3,77,99,4.78,RU,1681935589
180,cruzeiro do sul,-29.5128,-51.9853,16.96,69,100,4.19,BR,1681935869
181,sai kung,22.3822,114.2728,24.02,94,100,0.82,CN,1681935869
182,thunder bay,48.4001,-89.3168,3.99,38,100,5.66,CA,1681935649
183,harstad,68.799,16.5293,7.86,100,100,13.41,NO,1681935634
184,saint-francois,46.4154,3.9054,12.69,67,0,3.09,FR,1681935514
185,port lincoln,-34.7333,135.8667,14.82,67,100,2.59,AU,1681935532
186,nola,40.922,14.5329,14.79,85,1,0.88,IT,1681935871
187,broome,42.2506,-75.833,13.68,55,0,5.14,US,1681935871
188,pauini,-7.7136,-66.9764,30.17,63,99,1.04,BR,1681935872
189,egilsstadir,65.2653,-14.3948,12.95,62,0,2.57,IS,1681935527
190,kingston,17.997,-76.7936,29.58,73,20,8.75,JM,1681935490
191,kapuskasing,49.4169,-82.4331,0.05,69,100,7.2,CA,1681935593
192,inari,68.906,27.0288,6.11,94,100,3.13,FI,1681935674
193,usogorsk,63.4106,48.6872,-0.43,91,100,2.16,RU,1681935874
194,kruisfontein,-34.0033,24.7314,18.82,56,100,0.65,ZA,1681935568
195,kwang binh,17.4833,106.6,29.69,60,0,2.28,VN,1681935875
196,peterhead,57.5058,-1.7981,8.22,82,0,3.54,GB,1681935875
197,san juan del cesar,10.7711,-73.0031,35.53,33,100,3.37,CO,1681935876
198,crane,31.3974,-102.3501,31.36,9,0,7.05,US,1681935311
199,the bottom,17.6259,-63.2492,27.07,71,0,7.75,BQ,1681935877
200,east london,-33.0153,27.9116,26.86,32,10,4.31,ZA,1681935626
201,kuta,-8.7233,115.1723,25.97,88,20,2.24,ID,1681935696
202,callao,-12.0667,-77.15,25.16,61,40,6.69,PE,1681935420
203,la romana,18.4273,-68.9728,31.2,58,20,3.09,DO,1681935878
204,gulf shores,30.246,-87.7008,28.54,57,0,3.6,US,1681935862
205,santa ana de yacuma,-13.75,-65.4333,32.97,55,75,4.12,BO,1681935879
206,palikir - national government center,6.9248,158.1611,24.41,94,100,5.14,FM,1681935726
207,vorkuta,67.5,64.0,-7.07,97,100,3.45,RU,1681935675
208,akjoujt,19.6969,-14.4164,29.18,19,100,4.5,MR,1681935880
209,labrador city,52.9463,-66.9114,3.95,81,100,3.09,CA,1681935500
210,martapura,-3.4167,114.85,25.05,100,85,0.51,ID,1681935881
211,jutai,-5.1833,-68.9,28.15,86,100,1.03,BR,1681935882
212,matoury,4.8483,-52.3317,24.98,94,100,3.09,GF,1681935882
213,ilulissat,69.2167,-51.1,-4.99,80,100,2.57,GL,1681935522
214,pitimbu,-7.4706,-34.8086,29.33,84,50,3.88,BR,1681935883
215,slave lake,55.2834,-114.769,2.99,81,100,3.6,CA,1681935884
216,san julian,21.0167,-102.1667,29.49,11,92,6.77,MX,1681935884
217,mili,6.0815,171.735,27.71,80,100,6.42,MH,1681935884
218,wailua homesteads,22.0669,-159.378,25.97,70,0,3.6,US,1681935518
219,al-hamdaniya,36.2715,43.3737,21.83,42,89,2.63,IQ,1681935887
220,kavieng,-2.5744,150.7967,26.99,76,81,1.33,PG,1681935678
221,souillac,-20.5167,57.5167,26.21,89,40,5.66,MU,1681935888
222,severnoye,56.3491,78.3619,-4.92,89,57,2.18,RU,1681935888
